Bc395_contig793,mitochondrion
Bc395_contig977,mitochondrion
Bc395_contig1054,mitochondrion
Bc395_contig1061,mitochondrion
Bc395_contig1096,mitochondrion
Bc395_contig1253,mitochondrion
Bc395_contig1347,mitochondrion
Bc395_contig1355,mitochondrion
Bc395_contig1370,mitochondrion
Bc395_contig1455,mitochondrion
Bc395_contig1465,mitochondrion
Bc395_contig1591,mitochondrion
Bc395_contig1620,mitochondrion
Bc395_contig1654,mitochondrion
Bc395_contig1771,mitochondrion
Bc395_contig2844,mitochondrion
Bc395_contig2963,mitochondrion
